City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Colares,PT,71.01,clear sky,38.8,-9.45,Arribas Sintra Hotel
9,Coahuayana,MX,71.6,drizzle,18.73,-103.68,Hotel Los Arcos
12,Tura,IN,73.98,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
15,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
17,Morondava,MG,72.25,clear sky,-20.28,44.28,La Case Bambou
19,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
22,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.08,Scoop Guest House
29,Hashtgerd,IR,75.2,scattered clouds,35.96,50.69,Parse System
32,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
34,Lorengau,PG,84.85,light rain,-2.02,147.27,Lorengau Harbourside Hotel
35,Tamiahua,MX,85.51,scattered clouds,21.27,-97.45,Mission Of The Sun Hotel
41,Marsh Harbour,BS,84.22,light rain,26.54,-77.06,Abaco Beach Resort
44,Hilo,US,86.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
46,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
52,Hasaki,JP,82.4,shower rain,35.73,140.83,Inubosaki Kanko Hotel
57,Clarksburg,US,78.01,moderate rain,39.28,-80.34,Greenbrier Motel & Restaurant
61,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
62,Butaritari,KI,82.53,overcast clouds,3.07,172.79,Isles Sunset Lodge
65,Sakakah,SA,86.0,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
67,Shenjiamen,CN,80.37,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
72,Sinnamary,GF,80.11,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
75,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
76,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
79,North Port,US,90.0,broken clouds,27.04,-82.24,Warm Mineral Springs Motel
81,Kalmunai,LK,78.33,light rain,7.42,81.82,VS Villa
82,Parauna,BR,74.8,clear sky,-16.95,-50.45,Hotel Serras de Paraúna
84,Jamestown,US,70.0,moderate rain,42.1,-79.24,Hampton Inn & Suites Jamestown
90,Aswan,EG,83.77,broken clouds,24.09,32.91,Nuba Nile
91,La Romana,DO,86.0,scattered clouds,18.43,-68.97,Casa de Campo Resort and Villas
92,Hue,VN,78.8,few clouds,16.47,107.6,Saigon Morin Hotel
93,Manihari,IN,77.88,scattered clouds,25.35,87.63,Sankar Yadav Line Hotel
94,Mutsu,JP,71.6,fog,41.29,141.22,Mutsu Park Hotel
97,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
100,Foam Lake,CA,73.02,scattered clouds,51.65,-103.53,Foam Lake Campground
106,Wucheng,CN,74.17,overcast clouds,29.6,118.17,Xiuwu Restaurant
107,Tomatlan,MX,75.02,very heavy rain,19.93,-105.25,Norma franco
108,Tagusao,PH,80.76,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
109,Araguacu,BR,82.81,scattered clouds,-12.93,-49.83,Brunas Park Hotel
112,Hami,CN,71.89,broken clouds,42.8,93.45,Laoyutang Resort
117,Bengkulu,ID,74.73,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
118,Redmond,US,79.0,clear sky,47.67,-122.12,Seattle Marriott Redmond
119,Port Moresby,PG,77.0,scattered clouds,-9.44,147.18,Lamana Hotel
120,Tabou,CI,75.94,overcast clouds,4.42,-7.35,hotêl doufoulougou
121,Celestun,MX,88.77,few clouds,20.87,-90.4,Posada Lilia
125,Sao Joao Da Barra,BR,71.33,clear sky,-21.64,-41.05,Pousada Porto De Canoas
127,Bethel,US,71.6,heavy intensity rain,41.37,-73.41,Courtyard by Marriott Danbury
129,Faanui,PF,77.41,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Guerrero Negro,MX,86.41,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
131,Serik,TR,77.0,clear sky,36.92,31.1,Royal Seginus Lara
132,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
133,Lagoa,PT,74.25,light rain,39.05,-27.98,Casa Das Faias
135,Tual,ID,79.68,overcast clouds,-5.67,132.75,Grand Vilia Hotel
143,Ribeira Grande,PT,74.93,overcast clouds,38.52,-28.7,Quinta da Meia Eira
144,Atuona,PF,78.87,broken clouds,-9.8,-139.03,Villa Enata
146,Manta,EC,77.0,scattered clouds,-0.95,-80.73,Balandra Hotel
152,Hefei,CN,73.4,mist,31.86,117.28,Jinhuan Hotel
157,Savelugu,GH,75.88,moderate rain,9.62,-0.83,Yoo Naa's Palace
159,Banda Aceh,ID,79.09,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
161,Gat,IL,75.99,clear sky,31.61,34.76,רגע בנחת
163,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
164,The Valley,AI,86.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
166,Cayenne,GF,82.4,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
170,Dingle,PH,77.88,overcast clouds,11.0,122.67,Camp Pasica
172,Buta,CD,73.35,broken clouds,2.79,24.73,HOTEL BISO NA BISO
176,Fare,PF,78.15,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
182,Mapastepec,MX,79.2,light rain,15.43,-92.9,Hotel San Carlos
184,Nouadhibou,MR,80.6,clear sky,20.93,-17.03,El Medina
186,Garowe,SO,76.82,overcast clouds,8.41,48.48,Curubo Hotel
187,Dwarka,IN,81.39,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
190,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
191,Ponta Do Sol,PT,78.01,few clouds,32.67,-17.1,Hotel do Campo
