City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.45,-133.04,46.4,65,75,12.75,broken clouds
1,Busselton,AU,-33.65,115.33,45.0,92,0,1.83,clear sky
2,Rikitea,PF,-23.12,-134.97,68.54,61,0,3.96,clear sky
3,Colares,PT,38.8,-9.45,71.01,94,3,18.77,clear sky
4,Port Alfred,ZA,-33.59,26.89,58.14,72,0,13.15,clear sky
5,Cherskiy,RU,68.75,161.3,41.86,92,100,1.25,overcast clouds
6,Provideniya,RU,64.38,-173.3,51.8,81,90,6.71,overcast clouds
7,Paita,PE,-5.09,-81.11,63.55,80,1,16.28,clear sky
8,Dikson,RU,73.51,80.55,47.62,83,38,10.25,scattered clouds
9,Coahuayana,MX,18.73,-103.68,71.6,83,90,6.42,drizzle
10,Ushuaia,AR,-54.8,-68.3,37.4,59,40,8.05,shower rain
11,Bredasdorp,ZA,-34.53,20.04,53.6,93,55,8.05,broken clouds
12,Tura,IN,25.52,90.22,73.98,90,28,5.84,scattered clouds
13,Nikolskoye,RU,59.7,30.79,53.6,93,90,4.47,light intensity shower rain
14,Lasa,IT,46.62,10.7,57.2,87,5,1.66,clear sky
15,Avarua,CK,-21.21,-159.78,77.0,57,45,11.41,scattered clouds
16,Aksu,CN,41.12,80.26,66.61,48,79,4.16,light rain
17,Morondava,MG,-20.28,44.28,72.25,76,0,7.67,clear sky
18,Vardo,NO,70.37,31.11,39.2,86,20,10.29,few clouds
19,Souillac,MU,-20.52,57.52,71.6,73,40,2.24,shower rain
20,Paamiut,GL,61.99,-49.67,43.92,72,100,5.77,overcast clouds
21,Talnakh,RU,69.49,88.4,51.8,81,40,2.24,scattered clouds
22,Hithadhoo,MV,-0.6,73.08,81.75,66,100,0.78,overcast clouds
23,Longyearbyen,SJ,78.22,15.64,37.4,69,75,13.87,broken clouds
24,Iqaluit,CA,63.75,-68.51,46.4,70,75,12.75,broken clouds
25,Albany,US,42.6,-73.97,64.0,91,100,3.09,light rain
26,Komsomolskiy,UZ,40.43,71.72,62.6,82,0,0.47,mist
27,Verkhnetulomskiy,RU,68.61,31.8,41.0,86,40,6.71,scattered clouds
28,Mayskiy,RU,47.69,40.1,66.2,72,71,6.71,broken clouds
29,Hashtgerd,IR,35.96,50.69,75.2,25,40,4.7,scattered clouds
30,Cape Town,ZA,-33.93,18.42,55.0,87,75,6.93,broken clouds
31,Hobart,AU,-42.88,147.33,51.01,61,75,16.11,broken clouds
32,Bintulu,MY,3.17,113.03,75.2,100,20,6.08,few clouds
33,Moyale,KE,3.52,39.06,67.01,74,36,7.49,scattered clouds
34,Lorengau,PG,-2.02,147.27,84.85,69,2,6.78,light rain
