City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-08-24 23:00:58,42.6,-73.97,86.0,79,18,4.27
1,Mataura,NZ,2020-08-24 23:02:47,-46.19,168.86,46.99,67,97,15.01
2,Kaliganj,BD,2020-08-24 23:02:47,23.41,89.14,79.43,89,94,5.84
3,Aktau,KZ,2020-08-24 23:02:47,43.65,51.2,60.8,72,45,4.47
4,Oyem,GA,2020-08-24 23:02:48,1.6,11.58,66.83,99,100,2.86
5,Bluff,NZ,2020-08-24 23:02:48,-46.6,168.33,46.99,67,87,15.01
6,Clyde River,CA,2020-08-24 23:02:48,70.47,-68.59,41.7,85,97,8.99
7,Rancho Palos Verdes,US,2020-08-24 23:00:46,33.74,-118.39,77.0,83,40,19.46
8,New Norfolk,AU,2020-08-24 23:02:48,-42.78,147.06,46.0,83,30,5.01
9,Talnakh,RU,2020-08-24 23:02:23,69.49,88.4,55.4,87,66,8.95
10,Ribeira Grande,PT,2020-08-24 23:02:49,38.52,-28.7,73.71,91,51,12.15
11,Mar Del Plata,AR,2020-08-24 22:59:12,-38.0,-57.56,52.0,93,100,13.87
12,Abu Dhabi,AE,2020-08-24 22:58:23,24.47,54.37,93.2,71,25,6.93
13,Busselton,AU,2020-08-24 23:01:41,-33.65,115.33,48.99,96,72,6.35
14,Kemin,KG,2020-08-24 23:02:49,42.78,75.69,64.72,43,37,2.19
15,Rikitea,PF,2020-08-24 23:02:49,-23.12,-134.97,72.05,87,4,16.31
16,Hithadhoo,MV,2020-08-24 23:02:50,-0.6,73.08,83.16,67,100,2.3
17,Zhangjiakou,CN,2020-08-24 23:02:50,40.81,114.88,66.87,65,0,3.22
18,Wilmington,US,2020-08-24 22:59:10,34.23,-77.94,81.0,88,20,3.36
19,Ostrovnoy,RU,2020-08-24 23:02:47,68.05,39.51,52.54,84,11,12.75
20,Sioux Lookout,CA,2020-08-24 23:02:51,50.1,-91.92,78.8,41,75,17.22
21,Kahului,US,2020-08-24 22:59:17,20.89,-156.47,89.6,52,40,23.04
22,Chokurdakh,RU,2020-08-24 23:02:52,70.63,147.92,37.53,77,99,7.43
23,Cabo Rojo,PR,2020-08-24 22:59:56,18.09,-67.15,82.99,80,93,6.91
24,Vestmanna,FO,2020-08-24 23:02:52,62.16,-7.17,42.8,87,16,2.24
25,Xam Nua,LA,2020-08-24 23:02:52,20.42,104.04,65.57,94,100,3.11
26,Talara,PE,2020-08-24 23:00:25,-4.58,-81.27,62.42,81,2,19.73
27,Parole,US,2020-08-24 23:02:53,38.98,-76.53,86.0,66,1,5.82
28,Victoria,HK,2020-08-24 23:00:05,22.29,114.16,86.0,84,2,10.0
29,East London,ZA,2020-08-24 23:01:33,-33.02,27.91,63.59,81,99,14.14
30,Coxim,BR,2020-08-24 23:02:53,-18.51,-54.76,86.65,28,74,2.68
31,Sterlibashevo,RU,2020-08-24 23:02:53,53.44,55.26,57.06,88,18,6.08
32,Inta,RU,2020-08-24 23:02:53,66.03,60.17,52.11,78,100,2.68
33,Bethel,US,2020-08-24 23:02:54,41.37,-73.41,87.8,45,1,5.82
34,Jamestown,US,2020-08-24 23:02:54,42.1,-79.24,79.0,61,1,11.41
35,Longyearbyen,SJ,2020-08-24 23:02:54,78.22,15.64,39.2,69,20,9.17
36,Alofi,NU,2020-08-24 23:02:54,-19.06,-169.92,80.6,61,40,16.11
37,Basco,PH,2020-08-24 23:02:54,20.45,121.97,83.73,79,100,25.97
38,Matara,LK,2020-08-24 23:02:55,5.95,80.54,76.77,89,99,6.2
39,Yulara,AU,2020-08-24 23:02:55,-25.24,130.99,51.8,43,0,5.82
40,Bontang,ID,2020-08-24 23:02:55,0.13,117.5,77.14,89,12,3.76
41,Barrow,US,2020-08-24 23:02:55,71.29,-156.79,42.8,87,90,5.82
42,Kapaa,US,2020-08-24 23:02:56,22.08,-159.32,84.2,70,75,12.75
43,Severo-Yeniseyskiy,RU,2020-08-24 23:02:56,60.37,93.04,50.14,93,94,2.44
44,Bonavista,CA,2020-08-24 23:02:56,48.65,-53.11,57.0,87,1,8.99
45,Khatanga,RU,2020-08-24 23:02:56,71.97,102.5,55.94,71,48,10.54
46,Zvishavane,ZW,2020-08-24 23:02:56,-20.33,30.07,62.53,38,0,1.1
47,Ushuaia,AR,2020-08-24 23:01:01,-54.8,-68.3,35.6,69,40,4.05
48,Lavrentiya,RU,2020-08-24 23:02:57,65.58,-171.0,48.7,87,99,5.64
49,Hasaki,JP,2020-08-24 23:02:57,35.73,140.83,79.0,78,20,10.29
50,Dali,CN,2020-08-24 23:02:57,25.7,100.18,62.87,86,98,2.57
51,Moundou,TD,2020-08-24 23:02:58,8.57,16.08,69.55,95,89,3.76
52,Yellowknife,CA,2020-08-24 23:00:46,62.46,-114.35,60.01,67,75,17.22
53,Punta Arenas,CL,2020-08-24 23:00:01,-53.15,-70.92,37.4,69,0,12.75
54,Saint-Philippe,RE,2020-08-24 23:02:58,-21.36,55.77,69.8,63,41,5.82
55,Yinchuan,CN,2020-08-24 23:02:59,38.47,106.27,71.98,31,0,10.54
56,Kokkola,FI,2020-08-24 23:02:59,63.84,23.13,57.0,93,20,4.7
57,Plastun,RU,2020-08-24 23:02:59,44.76,136.29,62.89,94,100,3.36
58,Santa Maria,BR,2020-08-24 23:02:59,-29.68,-53.81,64.4,72,49,6.93
59,Butaritari,KI,2020-08-24 23:02:59,3.07,172.79,81.73,75,100,10.65
60,Kisangani,CD,2020-08-24 23:03:00,0.52,25.2,68.76,92,41,0.76
61,Husavik,IS,2020-08-24 23:03:00,66.04,-17.34,44.6,81,0,6.93
62,Airai,TL,2020-08-24 23:03:00,-8.93,125.41,60.53,49,5,5.41
63,Tuktoyaktuk,CA,2020-08-24 23:03:01,69.45,-133.04,59.0,77,20,11.41
64,Khandyga,RU,2020-08-24 23:03:01,62.67,135.6,45.97,90,90,1.72
65,Namibe,AO,2020-08-24 23:02:38,-15.2,12.15,67.12,85,100,2.93
66,Carnarvon,AU,2020-08-24 23:00:11,-24.87,113.63,60.8,93,0,11.41
67,Port Alfred,ZA,2020-08-24 23:03:01,-33.59,26.89,61.88,83,100,16.98
68,Bengkulu,ID,2020-08-24 23:03:02,-3.8,102.27,75.56,81,5,5.55
69,Castro,BR,2020-08-24 23:01:13,-24.79,-50.01,50.61,93,7,7.94
70,Padang,ID,2020-08-24 23:01:08,-0.95,100.35,77.76,75,78,4.72
71,Cabo San Lucas,MX,2020-08-24 23:00:02,22.89,-109.91,89.6,52,20,3.36
72,Waddan,LY,2020-08-24 23:03:02,29.16,16.14,76.82,69,0,7.67
73,Providencia,MX,2020-08-24 23:03:02,28.72,-111.58,100.0,42,0,13.0
74,Geraldton,AU,2020-08-24 23:03:03,-28.77,114.6,44.6,93,0,3.36
75,Upernavik,GL,2020-08-24 23:03:03,72.79,-56.15,42.75,90,100,2.17
76,San Quintin,MX,2020-08-24 23:03:03,30.48,-115.95,79.09,70,23,15.46
77,Tevaitoa,PF,2020-08-24 23:03:03,-16.78,-151.5,77.83,81,13,20.04
78,Karaton,ID,2020-08-24 23:03:03,-6.34,106.1,75.2,83,20,4.7
79,Vao,NC,2020-08-24 23:03:04,-22.67,167.48,69.15,64,0,13.11
80,Atuona,PF,2020-08-24 23:03:04,-9.8,-139.03,78.33,77,3,15.59
81,Umm Kaddadah,SD,2020-08-24 23:03:04,13.6,26.69,78.98,63,97,3.96
82,Fethiye,TR,2020-08-24 23:03:04,36.62,29.12,73.4,88,0,3.36
83,Tazovskiy,RU,2020-08-24 23:03:04,67.47,78.7,50.18,99,100,5.88
84,Pevek,RU,2020-08-24 23:03:05,69.7,170.31,38.19,98,100,3.96
85,Raton,US,2020-08-24 23:03:05,36.9,-104.44,89.6,15,1,18.34
86,Vardo,NO,2020-08-24 23:03:05,70.37,31.11,48.2,81,40,11.41
87,Champerico,GT,2020-08-24 23:00:11,14.3,-91.92,84.2,74,40,11.41
88,Hobart,AU,2020-08-24 23:00:58,-42.88,147.33,46.0,70,20,10.29
89,Honiara,SB,2020-08-24 23:03:06,-9.43,159.95,86.0,70,20,6.93
90,Ancud,CL,2020-08-24 23:03:06,-41.87,-73.82,45.0,81,75,6.93
91,Skowhegan,US,2020-08-24 23:03:03,44.77,-69.72,72.0,94,1,3.22
92,Borujerd,IR,2020-08-24 23:03:06,33.9,48.75,66.2,25,0,4.7
93,Iqaluit,CA,2020-08-24 23:01:06,63.75,-68.51,50.0,71,75,16.11
